title,url,stage,day,time,lfm_id
Sharon Van Etten,http://www.sharonvanetten.com/,THE PARK STAGE,FRIDAY,20:00 - 21:00,12432733
Sherwood,http://www.adriansherwood.com/,GLADE,SUNDAY,19:40 - 20:50,1279772
Shields,http://www.behindshields.com/,RABBIT HOLE,THURSDAY,22:30 - 23:30,6609849
Shire Roots,,BABYLON UPRISING,SATURDAY,19:00 - 20:00,92713900
Shlomo,http://shlomobeatbox.co.uk/,THE PARK STAGE,FRIDAY,14:15 - 15:00,2126882
ShowHawk Duo,http://www.theshowhawkduo.com,THE BANDSTAND,WEDNESDAY,18:00 - 18:55,86230932
Shuffle Brothers,,BABYLON UPRISING,FRIDAY,16:00 - 17:00,34907559
Shy FX,https://www.facebook.com/ShyFX,WOW!,SATURDAY,02:00 - 03:00,1000353
Sian Evans,http://sian-evans.com/,ANCIENT FUTURES,SUNDAY,21:30 - 23:00,12751618
Sigma,http://www.sigmahq.com/,SONIC,FRIDAY,20:30 - 21:30,1036491
Silvastone,http://silvastonemusic.com/,THE BLUES,FRIDAY,21:00 - 22:00,33871353
Silver,,THE PAVEMENT,FRIDAY,13:05 - 13:35,1081808
Sinkane,http://sinkane.com/,WEST HOLTS,SATURDAY,14:00 - 15:00,21082323
Siriusmodeselektor,http://sirius.modeselektor.com/,WOW!,SUNDAY,01:00 - 02:30,97824728
Skanky Generals,,BABYLON UPRISING,SUNDAY,22:30 - 00:00,64892345
skarper,,LONDON UNDERGROUND,WEDNESDAY,20:00 - 21:30,35114337
Skepta,http://www.helloskepta.com/,WOW!,SATURDAY,20:20 - 21:00,1324084
Skream,,ARCADIA,FRIDAY,22:00 - 23:00,2111550
Slamboree,http://slamboree.com/,GLADE,SUNDAY,22:40 - 00:00,67351051
Slaves,http://youareallslaves.com/,JOHN PEEL STAGE,SATURDAY,14:00 - 14:40,1149321
Sleaford Mods,http://www.sleafordmods.com/,JOHN PEEL STAGE,SATURDAY,15:00 - 15:40,19190284
Sledgehead,https://www.facebook.com/people/Sledgehead-Bristol/100000308536583,THE BLUES,FRIDAY,01:00 - 03:00,19625489
Slugrave,,DELUXE DINER,Friday,23:30 - 01:00,66441401
Small Change,,GREENPEACE/ THE ENGINE ROOM,FRIDAY,01:00 - 02:00,11485832
Smith and Mighty,https://www.facebook.com/events/829327350453374/,THE BLUES,SUNDAY,22:00 - 23:30,1018676
Smokescreen,,GENOSYS,SATURDAY,21:30 - 23:00,6891972
Soak,http://www.soakmusic.co.uk/,OTHER STAGE,SUNDAY,12:00 - 12:40,1014766
Soft Rocks,,THE BEAT HOTEL,THURSDAY,13:30 - 15:00,11101041
SOiL,http://www.jvcmusic.co.jp/soilpimp/,WEST HOLTS,SATURDAY,15:30 - 16:30,1000684
Son of Dave,https://sonofdave.officialstore.co.uk/Shop/catalogue?ProdTitle=All%20Products,THE ROCKET LOUNGE,Saturday,00:00 - 01:00,6834498
Songhoy Blues,http://songhoy-blues.com/,PYRAMID STAGE,SUNDAY,12:00 - 12:40,87238203
Sonwah,,THE CAVE,THURSDAY,21:00 - 22:00,48465685
Soul Stew,http://www.billambergstudio.com,THE SPIKE,THURSDAY,20:00 - 22:00,20200868
Sound Of The Sirens,http://www.soundofthesirens.net,AVALON CAFÉ STAGE,THURSDAY,11:30 - 12:15,52679603
Space Monkeys,,AVALON CAFÉ STAGE,SATURDAY,19:30 - 20:30,1038927
Spanish Class,,THE BREAD AND ROSES,THURSDAY,18:30 - 19:15,10123849
Spector,http://spector.co.uk/,WILLIAM'S GREEN,SATURDAY,15:30 - 16:10,10682872
Spiritualized,http://piritualized.com,THE PARK STAGE,SATURDAY,21:30 - 22:30,13
Spor,,ARCADIA,SATURDAY,01:30 - 03:00,1154128
Stacey Cohen,,ANCIENT FUTURES,SATURDAY,17:00 - 18:30,48137660
Stealing Sheep,http://stealingsheep.co.uk/,WILLIAM'S GREEN,FRIDAY,16:30 - 17:10,48579412
Steel Pulse,http://www.steelpulse.com/,WEST HOLTS,SUNDAY,17:30 - 18:30,5762
Steve Gribbin,,CABARET,SATURDAY,12:40 - 13:10,6924933
Steve Knightly,http://www.growyourowngig.co.uk,TOAD HALL,SATURDAY,21:00 - 22:00,12949574
Steve Mills,,A LITTLE MORE SENSATION,FRIDAY,13:15 - 13:45,10566956
Steve Rawlings,,CABARET,FRIDAY,16:00 - 16:20,32297548
Stivs,,SALON CAROUSEL,SATURDAY,00:00 - 01:00,11380161
Stompin' Dave,http://www.stompindave.com/bluegrass.htm,THE BANDSTAND,WEDNESDAY,20:40 - 21:40,67480070
Stornoway,http://www.stornoway.eu/,ACOUSTIC STAGE,FRIDAY,15:30 - 16:10,15135269
Stuart Black,http://www.stuart-black.com,CABARET,SATURDAY,18:35 - 19:05,47764247
Suede,http://www.suede.co.uk/,JOHN PEEL STAGE,SATURDAY,22:35 - 23:45,238
Sugarbear,,THE DOWNLOW RADIO,SATURDAY,01:30 - 03:00,10011888
Sunday Service,,CROISSANT NEUF BANDSTAND,SUNDAY,11:30 - 12:30,10045125
Sunset Sons,http://sunsetsons.com/,JOHN PEEL STAGE,SATURDAY,12:00 - 12:40,88481428
Super Furry Animals,http://www.superfurry.com/,THE PARK STAGE,FRIDAY,23:00 - 00:15,1000313
Susie Ro,http://www.susieayla.co.uk,TOAD HALL,THURSDAY,00:30 - 01:20,78504049
Swamp 81,http://www.swamp81.com/,BEZ'S ACID HOUSE,SUNDAY,02:00 - 04:00,49479215
Swim Deep,http://www.swim-deep.co.uk/,WILLIAM'S GREEN,SATURDAY,19:30 - 20:10,66120308
t.b.c,,THE TEMPLE,SATURDAY,22:00 - 23:00,10808030
Tahuna Breaks,http://tahunabreaks.com/,GULLY,SATURDAY,15:45 - 16:45,13402494
Tall Black Guy,http://tallblackguyproductions.com/,LA PUSSY PARLURE,SATURDAY,22:00 - 23:30,32882449
Tama Sumo,,GENOSYS,SUNDAY,16:00 - 18:30,14381212
Tankus the Henge,http://www.tankusthehenge.co.uk/,SMALL WORLD STAGE,THURSDAY,23:45 - 01:00,10347748
Tarantism,http://www.tarantism.co.uk/,SMALL WORLD STAGE,FRIDAY,01:00 - 02:00,6773375
Tarka,https://www.mixcloud.com/tarka,GLADE LOUNGE,FRIDAY,19:30 - 21:00,14157408
Task Force,http://realtalk-records.com/,SALON CAROUSEL,FRIDAY,02:00 - 03:00,1054478
Taylor McFerrin,http://www.taylormcferrin.com/,LA PUSSY PARLURE,SATURDAY,19:30 - 20:30,14498703
tee cardaci,,THE DOWNLOW RADIO,SATURDAY,00:00 - 01:30,46837323
Tell Tale Tusk,http://www.telltaletusk.com/,SMALL WORLD STAGE,THURSDAY,01:30 - 02:30,91950935
Temple Funk Collective,http://templefunk.com/,HELL STAGE,FRIDAY,20:05 - 20:50,84654644
Tendai,,LONDON UNDERGROUND,FRIDAY,04:30 - 06:00,11791698
Terry,http://www.terryandgerry.com,ACOUSTIC STAGE,FRIDAY,12:00 - 12:40,6624506
Tess Of The Circle,http://www.tessofthecircle.com/,SMALL WORLD STAGE,FRIDAY,18:45 - 19:45,83557804
Texas,http://www.texas.uk.com/,ACOUSTIC STAGE,SATURDAY,18:30 - 19:30,1298
The 2 Bears,http://www.the2bears.co.uk/,THE BEAT HOTEL,SUNDAY,20:30 - 22:00,54653558
The Activators,,CROISSANT NEUF BANDSTAND,THURSDAY,15:00 - 15:45,65301484
The Antipoet,http://rrrants.org/,POETRY&WORDS,FRIDAY,11:30 - 12:00,57818708
The Baghdaddies,http://www.baghdaddies.com,THE BANDSTAND,SATURDAY,00:00 - 01:00,6613413
The Beat Cats,http://www.thebeatcats.com/,THE ROCKET LOUNGE,Friday,03:00 - 04:00,42205863
The Beatbox Collective,,THE GATEWAY,FRIDAY,16:00 - 16:30,78344778
The Bees Knees,http://www.londonsfinestflappers.com,THE SUMMER HOUSE,FRIDAY,14:50 - 14:58,11072206
The Bevis Frond,https://bevisfrond.bandcamp.com/,WILLIAM'S GREEN,SUNDAY,17:00 - 17:40,1239454
The Black Eagles,http://www.foolsparadise.co.uk/companies/blackeagles/,THE ASTROLABE THEATRE,FRIDAY,13:30 - 13:55,10759843
The Bootleg Beatles,http://www.bootlegbeatles.com/,ACOUSTIC STAGE,SUNDAY,17:25 - 18:10,13359678
The Brass Funkeys,http://brassfunkeys.com/,GULLY,SATURDAY,12:00 - 12:45,96045982
The Bug ft Manga,,ARCADIA,SATURDAY,20:00 - 21:00,97040909
The Burning Hell,http://www.wearetheburninghell.com/,WILLIAM'S GREEN,FRIDAY,11:30 - 12:10,17798235
The Busy Twist,,BABYLON UPRISING,FRIDAY,22:00 - 23:00,69010750
The Cadbury Sisters,http://www.thecadburysisters.com,CROISSANT NEUF,SATURDAY,14:30 - 15:30,67530348
The Cambodian Space Project,http://cambodianspaceproject.com/,WEST HOLTS,FRIDAY,11:30 - 12:30,59035470
The Carny Villains,https://thecarnyvillains.bandcamp.com/,HELL STAGE,SUNDAY,03:00 - 04:00,66413953
The Carry Nation,,GENOSYS,SATURDAY,23:00 - 01:30,70083356
The Cash Cows,http://www.barehunter.co.uk,AVALON CAFÉ STAGE,FRIDAY,11:30 - 12:15,78290730
The Chemical Brothers,http://www.thechemicalbrothers.com/,OTHER STAGE,SUNDAY,21:45 - 23:15,1000591
The Church,https://soundcloud.com/rumpsteppers,HELL STAGE,FRIDAY,21:05 - 21:50,1233697
The Cribs,http://www.thecribs.com,OTHER STAGE,FRIDAY,12:30 - 13:20,1300996
The Demon Barbers,http://www.thedemonbarbers.co.uk,THE ASTROLABE THEATRE,FRIDAY,18:20 - 19:20,11971750
The Districts,http://thedistrictsband.com/,JOHN PEEL STAGE,FRIDAY,15:00 - 15:40,11188825
The Downsetters,http://www.thedownsetters.co.uk/,THE ROCKET LOUNGE,Friday,05:00 - 06:00,70657421
the drystones,http://www.thedrystones.co.uk/,AVALON STAGE,SATURDAY,11:30 - 12:25,76245272
The Egg,,GREENPEACE/ THE ENGINE ROOM,FRIDAY,02:00 - 03:00,1237916
The Electric Swing Circus,http://electricswingcircus.com/,AVALON STAGE,SUNDAY,22:55 - 23:55,70778615
The Fall,http://thefall.xyz/,THE PARK STAGE,SUNDAY,19:30 - 20:30,551
The Fearless Light,http://www.thefearlesslight.co,AVALON CAFÉ STAGE,SUNDAY,12:30 - 13:15,100255565
The FOKN Bois,http://www.soundcloud.com/thextremevolumes,TOAD HALL,SATURDAY,01:30 - 02:30,73407043
THE GASLAMP KILLER EXPERIENCE,http://www.thegaslampkiller.com/,WEST HOLTS,FRIDAY,17:30 - 18:30,100410108
The Gravity Drive,,GREENPEACE,SUNDAY,16:00 - 16:40,79084850
The Guns of Navarone,,THE GATEWAY,FRIDAY,13:50 - 14:35,7010399
The Heatwave,http://www.theheatwave.co.uk,THE SPACEPORT,THURSDAY,17:45 - 19:00,15527112
The Jacques,http://www.thejacques.co.uk/,WILLIAM'S GREEN,SATURDAY,16:30 - 17:10,43419696
THE JIVE ACES,http://www.jiveaces.com/,AVALON STAGE,SATURDAY,17:15 - 18:15,9928360
The John Langan Band,,THE LIZARD STAGE,SATURDAY,01:00 - 02:30,48366378
The Johnsons,,AVALON CAFÉ STAGE,WEDNESDAY,21:00 - 22:00,1252780
The Little Unsaid,http://www.thelittleunsaid.com,SMALL WORLD STAGE,THURSDAY,13:15 - 14:15,57096339
The Lost Brothers,http://thelostbrothersband.com/,ACOUSTIC STAGE,SATURDAY,14:30 - 15:10,1246335
The Lounge Kittens,,CABARET,FRIDAY,17:35 - 18:05,89658537
The Maccabees,http://www.themaccabees.co.uk/,OTHER STAGE,SATURDAY,19:05 - 20:05,1238155
The Men That Will Not Be Blamed For Nothing,https://blamedfornothing.bandcamp.com/,THE ROCKET LOUNGE,Thursday,21:00 - 22:00,47329542
The Mob,,WANGO RILEY'S TRAVELLING STAGE,SUNDAY,23:00 - 23:45,1251552
The Moody Blues,http://www.moodybluestoday.com/,ACOUSTIC STAGE,SATURDAY,21:30 - 23:00,1001383
The Mouse Outfit,https://themouseoutfit.wordpress.com/,HELL STAGE,SUNDAY,23:20 - 00:10,36309501
The Noses,http://www.thenoses.co.uk,AVALON CAFÉ STAGE,SATURDAY,16:30 - 17:15,41887227
The Phantom Band,http://www.phantomband.co.uk/,WILLIAM'S GREEN,SUNDAY,18:00 - 18:40,15757195
The Pop Group,http://www.thepopgroup.net/,JOHN PEEL STAGE,SATURDAY,16:00 - 16:40,2069
The Portraits,http://www.theportraitsmusic.com/,RABBIT HOLE,SUNDAY,13:30 - 14:00,18816540
The Proclaimers,http://www.proclaimers.co.uk/,ACOUSTIC STAGE,FRIDAY,20:00 - 21:00,1234472
The Purist,https://www.facebook.com/ThePurist,SONIC,SUNDAY,15:00 - 16:00,42240939
The Revenge,http://www.therevenge.co.uk/,WOW!,FRIDAY,22:00 - 23:00,6693218
The Sea Kings,http://www.theseakings.co.uk/,SMALL WORLD STAGE,SATURDAY,16:15 - 17:15,10323818
The Shires,http://www.theshiresmusic.com/,ACOUSTIC STAGE,SUNDAY,13:35 - 14:15,17943597
The Skints,http://www.theskints.co.uk/,GULLY,FRIDAY,20:00 - 21:00,12260221
The Smyths,http://www.thesmyths.net/,WILLIAM'S GREEN,SUNDAY,11:00 - 11:40,10566310
The Staves,http://www.thestaves.com/,THE PARK STAGE,SUNDAY,15:10 - 16:00,16465079
The Trouble,,THE HOUSE OF COME ONS,FRIDAY,03:00 - 04:00,1321050
The Turbans,http://www.theturbans.wix.com/theturbans,SMALL WORLD STAGE,FRIDAY,02:15 - 03:00,1257725
The Vaccines,http://www.thevaccines.com/,OTHER STAGE,FRIDAY,18:00 - 19:00,13207156
The Voyeurs,http://thevoyeursofficial.tumblr.com/,WILLIAM'S GREEN,FRIDAY,17:30 - 18:10,6943145
The Waterboys,http://www.mikescottwaterboys.com,PYRAMID STAGE,SATURDAY,13:30 - 14:30,1001804
The Who,http://thewho.com,PYRAMID STAGE,SUNDAY,21:45 - 23:15,1235281
The Worry Dolls,http://www.worrydollsmusic.com,THE BANDSTAND,SATURDAY,12:45 - 13:40,7035060
The Zombies,http://www.thezombies.net/,AVALON STAGE,SUNDAY,18:25 - 19:25,1234431
Thea Gilmore,http://www.theagilmore.net/,LEFT FIELD,FRIDAY,19:30 - 20:30,1002132
Thee Faction,http://www.theefaction.org/,LEFT FIELD,SATURDAY,18:00 - 19:00,57972398
Theo Bard,http://www.theobard.com,SMALL WORLD STAGE,SATURDAY,18:45 - 19:45,33169071
Three Daft Monkeys,http://www.3daftmonkeys.co.uk,THE BANDSTAND,SATURDAY,19:35 - 20:35,12792528
Thrill Collins,https://thrillcollins.bandcamp.com,RABBIT HOLE,SUNDAY,15:45 - 16:30,42499860
Tiffany Stevenson,,CABARET,FRIDAY,00:15 - 00:45,62043433
Tigerlight,http://www.muzu.tv/channel/tigerlight/,THE SPACEPORT,SATURDAY,22:00 - 23:00,75233029
Tigger,https://soundcloud.com/sidewinder1,THE SPACEPORT,SATURDAY,18:00 - 19:15,1338616
Tobias Jacob,http://www.tobiasbenjacob.bandcamp.com/releases,SMALL WORLD STAGE,FRIDAY,12:00 - 13:00,56095377
Tobias Jacob,,ANCIENT FUTURES,FRIDAY,21:30 - 23:00,56095377
Toby Tobias,,THE BEAT HOTEL,THURSDAY,15:00 - 16:30,11247473
Todd Terje,http://toddterje.com/,WEST HOLTS,SATURDAY,20:00 - 21:00,10349503
Tom Binns,,CABARET,FRIDAY,17:00 - 17:30,2154428
Tom E Lewis,https://www.facebook.com/pages/Tom-E-Lewis/153372004861035,GLADE,SATURDAY,13:20 - 14:10,16231654
Tom Price-Stephens,,THE LIZARD STAGE,FRIDAY,19:00 - 20:00,60586902
Tom Real,,GLADE LOUNGE,THURSDAY,01:30 - 03:00,14402337
Tom Robinson,http://www.tomrobinson.com,ACOUSTIC STAGE,SATURDAY,17:25 - 18:10,1063678
Tom Stade,,CABARET,SUNDAY,22:08 - 22:38,10732289
Tomato Fight,,THE TEMPLE,SUNDAY,18:00 - 18:45,57011070
Tommy Emmanuel,http://www.tommyemmanuel.com/,ACOUSTIC STAGE,SATURDAY,16:20 - 17:05,1003640
Tongue And Groove,https://soundcloud.com/tongueandgrooveofficial,THE SPACEPORT,SATURDAY,23:00 - 00:00,6964428
Tony Law,,CABARET,SATURDAY,00:20 - 00:50,43147992
TONY ROSS,https://soundcloud.com/dj-tony-ross-1,BEZ'S ACID HOUSE,SATURDAY,02:00 - 03:30,17806213
Too Many T's,,GREENPEACE,SATURDAY,12:45 - 13:30,70584115
TOO MANY ZOOZ,https://toomanyzooz.bandcamp.com/,GLADE,SUNDAY,18:40 - 19:25,88785297
Tora,https://toramusic.bandcamp.com/,WILLIAM'S GREEN,SUNDAY,12:00 - 12:40,6750058
Tourist,http://touristmusic.com/,LA PUSSY PARLURE,FRIDAY,22:30 - 23:30,1306816
Toy,http://toy-band.com/,WILLIAM'S GREEN,FRIDAY,19:30 - 20:10,1030303
Trampolene,,GREENPEACE,SATURDAY,16:00 - 16:45,80558658
Trembling Bells,http://www.tremblingbells.com,THE BANDSTAND,FRIDAY,19:30 - 20:30,43119756
Tribal Voices,http://www.tribalvoices.org.uk/tvoices.htm,MANDALA STAGE,THURSDAY,02:00 - 03:00,10138345
Tricky,http://www.trickysite.com/,SONIC,SUNDAY,21:15 - 22:30,70
Tristan,http://www.nanomusic.net/,GLADE LOUNGE,SATURDAY,23:45 - 01:15,1133933
Trouble Vision,,NYC DOWNLOW,THURSDAY,23:00 - 00:25,36654375
Tuff Love,http://www.reallytufflove.com/,BBC INTRODUCING,SATURDAY,16:35 - 17:00,14273154
Turkish Delights,,THE LIZARD STAGE,SATURDAY,16:00 - 17:00,10582031
Twin Atlantic,http://www.twinatlantic.com/,OTHER STAGE,SUNDAY,15:45 - 16:45,16780243
Ulterior Motive,https://ello.co/ulteriormotive,HEAVEN,SATURDAY,03:00 - 04:00,11159921
Uncle Funk,http://www.unclefunk.co.uk,SENSATION SEEKERS STAGE,FRIDAY,01:40 - 02:40,26570253
Undercover Hippy,http://www.billyrowen.co.uk,TOAD HALL,FRIDAY,20:00 - 20:45,17322132
United Vibrations,,THE LIZARD STAGE,FRIDAY,01:00 - 02:00,16510431
Van Goffey,http://facebook.com/vangoffey,RABBIT HOLE,SATURDAY,22:00 - 22:30,16412422
Vandal,http://www.kaotiksoundsystem.co.uk,SALON CAROUSEL,SUNDAY,03:00 - 04:00,1294946
Vicky Arlidge,http://www.vickyarlidge.com,CABARET,FRIDAY,12:40 - 13:10,76078795
Vintage Trouble,http://www.vintagetrouble.com/,WEST HOLTS,SATURDAY,18:30 - 19:30,62463490
VINYL JUNKIE,http://www.warehousewax.co.uk/vinyljunkie/,SALON CAROUSEL,SUNDAY,01:00 - 02:00,11793881
Waa Wei,https://www.facebook.com/lovewaa,LA PUSSY PARLURE,THURSDAY,23:20 - 00:20,34703832
Way Out West,http://www.wayoutwestmusic.co.uk/,GLADE,SATURDAY,19:45 - 20:55,1002959
Weaves,http://weavesband.com/,JOHN PEEL STAGE,FRIDAY,11:00 - 11:40,18146737
Whilk,http://whilkandmisky.com/,LA PUSSY PARLURE,SATURDAY,21:00 - 22:00,101196593
Whimwise,http://www.whimwise.com/,MANDALA STAGE,WEDNESDAY,20:00 - 21:00,15958243
Wild Geese,,THE BEAT HOTEL,THURSDAY,18:15 - 20:00,13537989
Wilkinson,http://wilkinson-music.com/,SONIC,FRIDAY,15:30 - 16:45,16355838
Wilko Johnson,http://wilkojohnson.com/,ACOUSTIC STAGE,FRIDAY,18:30 - 19:30,1338857
Will Joseph Cook,http://willjosephcook.co.uk/,BBC INTRODUCING,SATURDAY,18:05 - 18:30,77368357
Will White,,THE SPIKE,SATURDAY,01:00 - 03:00,6942546
Wobble,http://www.wobbleandwheeze.co.uk,MANDALA STAGE,THURSDAY,17:00 - 18:00,16615390
Wolf Alice,http://wolfalice.co.uk/,THE PARK STAGE,FRIDAY,17:00 - 18:00,65922947
Work It,http://youworkit.co.uk/,LA PUSSY PARLURE,FRIDAY,01:45 - 03:00,1308130
World Government,https://worldgovt.wordpress.com,THE BANDSTAND,FRIDAY,00:00 - 01:00,31351659
Worry Dolls,,GREENPEACE,SUNDAY,12:00 - 12:45,15019234
Yasser,,BBC INTRODUCING,THURSDAY,20:00 - 21:30,10886662
Years and Years,http://yearsandyearsofficial.com/,JOHN PEEL STAGE,SATURDAY,17:00 - 17:50,67715806
Yiddish Twist Orchestra,http://www.peterconwaymanagement.com/artists/yiddish-twist-orchestra,AVALON STAGE,SATURDAY,18:45 - 19:45,54681572
Young Fathers,http://www.young-fathers.com/,OTHER STAGE,SATURDAY,14:45 - 15:45,28933328
Youngsta,,LONDON UNDERGROUND,SATURDAY,01:45 - 03:15,6863768
yourgardenday,http://yourgardenday.co.uk,AVALON CAFÉ STAGE,SUNDAY,16:30 - 17:15,45869336
Z-Aires Mayapur,,THE TEMPLE,FRIDAY,22:00 - 23:00,14332141
Zibra,http://www.zibrazibrazibra.com/,BBC INTRODUCING,SUNDAY,19:35 - 20:00,70304517
Zion Train,http://wobblyweb.com/,HELL STAGE,SUNDAY,01:40 - 02:40,2130
ZOOBAZAR,http://www.zoobazar.es/en/,GULLY,FRIDAY,16:30 - 17:45,33521050
2 Bad Mice,,LONDON UNDERGROUND,THURSDAY,21:30 - 23:00,1014677
3 DAFT MONKEYS,,TOAD HALL,SATURDAY,16:30 - 17:30,10303276
45 Live,,STONEBRIDGE,FRIDAY,13:00 - 14:00,15226206
47soul,,SMALL WORLD STAGE,THURSDAY,17:20 - 18:20,94700525
601,,THE TEMPLE,SATURDAY,01:00 - 02:00,4649
